   1 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   735.29 1  1000.00 1 1 1 1 0010000000000010 3876 3875 2800   35   52   25   88  15  44   1  64  17  43   1  64  15  30   1  64  10  40   1  64
   2 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   735.29 1  1000.00 1 1 1 1 0010000000000010 3876 3875 2800   35   51   15   78  12  46   1  64  16  50   1  64  10  40   1  64  10  40   1  64
   3 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   735.29 1  1000.00 1 1 1 1 0010000000000010 3876 3376 2800   27   52   15   78   5  50   1  64   5  50   1  64   5  50   1  64   5  50   1  64
   4 1  1058.82 1  1000.00 1  1029.41 1  1088.24 1   735.29 1  1000.00 1 1 1 1 0010000000000010 3876 3376 2800   27   52   15   78   5  50   1  64   5  50   1  64   5  50   1  64   5  50   1  64
   5 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   735.29 1  1000.00 1 1 1 1 0010000000000010 3876 3376 2800    1   64    1   64   5  50   1  64   5  50   1  64   5  50   1  64   5  50   1  64
   6 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   735.29 1  1000.00 1 1 1 1 0010000000000010 3876 3376 2800    9   25    1   64  12  44   1  64  15  40   1  64  12  40   1  64   5  50   1  64
   7 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   735.29 1  1000.00 1 1 1 1 0010000000000010 3876 3376 2800   12   22    1   64  12  44   1  64  15  40   1  64  12  40   1  64   5  50   1  64
   8 1  1058.82 1  1000.00 1  1029.41 1  1088.24 1   735.29 1  1000.00 1 1 1 1 0010000000000010 3876 3376 2800   12   22    1   64  12  44   1  64  15  40   1  64   1  64   1  64   5  50   1  64
   9 1  1058.82 1  1000.00 1  1029.41 1  1117.65 1   735.29 1  1000.00 1 1 1 1 0010000000000010 3876 3376 2800   12   22    1   64  12  44   1  64  15  40   1  64   1  64   1  64   5  50   1  64
  10 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   735.29 1  1000.00 1 1 1 1 0010000000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  11 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   735.29 1  1000.00 1 1 1 1 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  12 1  1058.82 1  1000.00 1  1029.41 1   588.24 1   735.29 1     0.00 0 1 1 0 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  13 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   735.29 1     0.00 0 1 1 0 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  14 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   735.29 1   294.12 1 1 1 1 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  15 1  1088.24 1  1000.00 1  1029.41 1  1058.82 1   735.29 1  1000.00 1 1 1 1 0010001000000010 3876 3376 2800    7   25    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  16 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   735.29 1  1000.00 1 1 1 1 0010001000000010 3876 3376 2800    7   25    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  17 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   700.00 1  1000.00 1 1 1 1 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  18 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   711.76 1  1000.00 1 1 1 1 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  19 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   723.53 1  1000.00 1 1 1 1 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  20 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   747.06 1  1000.00 1 1 1 1 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  21 1  1058.82 1  1000.00 1  1029.41 1  1058.82 1   752.94 1  1000.00 1 1 1 1 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  22 1  1088.24 1  1017.65 1  1047.06 1  1070.59 1   723.53 1  1000.00 1 1 1 1 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  23 1  1088.24 1  1017.65 1  1047.06 1  1070.59 1   711.76 1  1000.00 1 1 1 1 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  24 1  1088.24 1  1017.65 1  1047.06 1  1070.59 1   700.00 1  1000.00 1 1 1 1 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
  25 1  1088.24 1  1017.65 1  1047.06 1  1070.59 1   747.06 1  1000.00 1 1 1 1 0010001000000010 3876 3376 2800    1   64    1   64   1  64   1  64   1  64   1  64   1  64   1  64   1  64   1  64
